23:45:53 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:45:54 23-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
23:46:01 23-01-2017	 INFO		 sample.MainGuiController 	admin elimino entrada de vengas dfad 16/01/2017    #                Producto:                  Precio:
   2         Camisas V Medium                     25.0
   1                   Lentes                     60.0
.
23:46:01 23-01-2017	 ERROR		 sample.MainGuiController 	Line MainGuiController.java FILE MainGuiController.java null.
23:46:11 23-01-2017	 INFO		 sample.MainGuiController 	admin elimino entrada de vengas df 16/01/2017    #                          Producto:                            Precio:
   0                             Lentes                               60.0
   1                   Camisas V Medium                               25.0
   1                    Camisas V Large                               25.0
   1                    Camisas V Small                               25.0
   1            Pantalones Cortos Levis                               35.0
.
23:46:11 23-01-2017	 ERROR		 sample.MainGuiController 	Line MainGuiController.java FILE MainGuiController.java null.
23:47:01 23-01-2017	 INFO		 sample.MainGuiController 	admin elimino entrada de vengas df 16/01/2017    #                          Producto:                            Precio:
   2                   Camisas V Medium                               25.0
.
23:47:07 23-01-2017	 INFO		 sample.MainGuiController 	admin elimino entrada de vengas 3 16/01/2017    #                          Producto:                            Precio:
   3                    Camisas V Large                               25.0
.
23:47:07 23-01-2017	 ERROR		 sample.MainGuiController 	Line MainGuiController.java FILE MainGuiController.java null.
23:48:16 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:48:16 23-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
23:48:35 23-01-2017	 INFO		 sample.MainGuiController 	admin elimino entrada de vengas Kelly 15/01/2017 1	Lentes					60.0
1	Camisas V Medium					25.0
2	Pantalones Levis Khakis					45.0
.
23:49:03 23-01-2017	 INFO		 sample.MainGuiController 	admin elimino entrada de vengas d 16/01/2017    #Producto:           Precio:
   1Camisas V Medium    25.0
   1Camisas V Large     25.0
   1Camisas V Small     25.0
   2Pantalones Cortos Levis35.0
   1Pantalones Levis    40.0
.
23:49:17 23-01-2017	 ERROR		 sample.MainGuiController 	Line MainGuiController.java FILE MainGuiController.java null.
23:49:51 23-01-2017	 INFO		 sample.MainGuiController 	Inventory retrieved from database successfully.
23:49:52 23-01-2017	 INFO		 sample.LoginController 	admin logged in successfully.
